He	O
was	O
born	O
in	O
Exeter,	B-StateCapital108695539
New	I-StateCapital108695539
Hampshire	I-StateCapital108695539
.	O
July	O
21	O
,	O
1992	O
in	O
Exeter,	B-StateCapital108695539
New	I-StateCapital108695539
Hampshire	I-StateCapital108695539
)	O
was	O
an	O
American	O
philosopher	O
.	O
John	O
Wheelwright	O
(	O
c.1592–1679	O
)	O
,	O
was	O
a	O
Puritan	O
clergyman	O
in	O
England	O
and	O
America	O
,	O
and	O
was	O
most	O
noted	O
for	O
being	O
banished	O
from	O
the	O
Massachusetts	O
Bay	O
Colony	O
during	O
the	O
Antinomian	O
Controversy	O
,	O
and	O
for	O
subsequently	O
establishing	O
the	O
town	O
of	O
Exeter,	B-StateCapital108695539
New	I-StateCapital108695539
Hampshire	I-StateCapital108695539
.	O
Following	O
the	O
winter	O
,	O
he	O
purchased	O
the	O
rights	O
of	O
the	O
Indian	O
sagamore	O
of	O
Wehanownouit	O
and	O
his	O
son	O
,	O
and	O
founded	O
the	O
town	O
of	O
Exeter,	B-StateCapital108695539
New	I-StateCapital108695539
Hampshire	I-StateCapital108695539
on	O
3	O
April	O
1638	O
.	O
Born	O
in	O
Danville	O
,	O
Virginia	O
,	O
he	O
moved	O
with	O
his	O
parents	O
to	O
Williamsport	O
,	O
Maryland	O
in	O
1900	O
where	O
he	O
attended	O
the	O
public	O
schools	O
,	O
Phillips	O
Exeter	O
Academy	O
,	O
Exeter,	B-StateCapital108695539
New	I-StateCapital108695539
Hampshire	I-StateCapital108695539
and	O
Pratt	O
Institute	O
,	O
Brooklyn	O
,	O
New	O
York	O
.	O
He	O
died	O
in	O
Exeter,	B-StateCapital108695539
New	I-StateCapital108695539
Hampshire	I-StateCapital108695539
in	O
1954	O
.	O
Letter	O
from	O
Lear	O
to	O
John	O
Taylor	O
Gilman	O
of	O
Exeter,	B-StateCapital108695539
New	I-StateCapital108695539
Hampshire	I-StateCapital108695539
,	O
1789	O
.	O
Born	O
in	O
Exeter,	B-StateCapital108695539
New	I-StateCapital108695539
Hampshire	I-StateCapital108695539
,	O
Shute	O
was	O
a	O
graduate	O
of	O
Phillips	O
Exeter	O
Academy	O
(	O
1875	O
)	O
and	O
Harvard	O
University	O
(	O
1879	O
)	O
.	O
He	O
retired	O
from	O
teaching	O
in	O
1927	O
,	O
moving	O
back	O
to	O
New	O
England	O
and	O
taking	O
up	O
residence	O
in	O
