On	O
December	O
28	O
,	O
they	O
would	O
be	O
playing	O
“	O
the	O
pick	O
of	O
Vanderbilt	O
and	O
Suwanee	O
elevens	O
”	O
at	O
Memphis	O
and	O
on	O
the	O
31st	O
,	O
“	O
the	O
best	O
men	O
from	O
the	O
University	O
of	O
Louisiana	O
and	O
one	O
or	O
two	O
other	O
colleges	O
”	O
at	O
New	B-StateCapital108695539
Orleans	I-StateCapital108695539
.	O
All	O
involved	O
individuals	O
were	O
publicly	O
executed	O
on	O
'	O
'	O
Place	O
d'Armes	O
"	O
,	O
Jackson	O
Square	O
in	O
New	B-StateCapital108695539
Orleans	I-StateCapital108695539
.	O
Van	O
Lear	O
Leary	O
was	O
a	O
pioneer	O
in	O
aviation	O
,	O
the	O
operator	O
of	O
the	O
first	O
airline	O
in	O
and	O
out	O
of	O
Little	O
Rock	O
,	O
Arkansas	O
,	O
New	B-StateCapital108695539
Orleans	I-StateCapital108695539
,	O
and	O
Shreveport	O
,	O
and	O
worked	O
in	O
radio	O
with	O
W.	O
K.	O
Henderson	O
in	O
the	O
early	O
days	O
of	O
KWKH	O
in	O
Shreveport	O
.	O
Oubre	O
was	O
born	O
in	O
New	B-StateCapital108695539
Orleans,	I-StateCapital108695539
Louisiana	I-StateCapital108695539
but	O
moved	O
to	O
Richmond	O
,	O
Texas	O
after	O
Hurricane	O
Katrina	O
in	O
2005	O
.	O
The	O
notes	O
were	O
known	O
as	O
"	O
Dixies	O
"	O
by	O
English	O
-	O
speaking	O
southerners	O
,	O
and	O
the	O
area	O
around	O
New	B-StateCapital108695539
Orleans	I-StateCapital108695539
and	O
the	O
French	O
-	O
speaking	O
parts	O
of	O
Louisiana	O
came	O
to	O
be	O
known	O
as	O
"	O
Dixieland	O
"	O
.	O
The	O
theater	O
was	O
renamed	O
in	O
1932	O
as	O
the	O
Rialto	O
and	O
become	O
the	O
Dixie	O
Theatre	O
in	O
the	O
1950s	O
after	O
being	O
purchased	O
by	O
the	O
Dixie	O
Theater	O
Corporation	O
of	O
New	B-StateCapital108695539
Orleans	I-StateCapital108695539
.	O
During	O
his	O
time	O
at	O
Oxford	O
,	O
Powell	O
was	O
an	O
intern	O
with	O
NBC	O
News	O
in	O
New	B-StateCapital108695539
Orleans	I-StateCapital108695539
and	O
the	O
Democratic	O
Party	O
in	O
Washington	O
,	O
D.C	O
..	O
His	O
father	O
,	O
Rogers	O
Sr	O
.	O
,	O
was	O
born	O
in	O
New	B-StateCapital108695539
Orleans,	I-StateCapital108695539
LA	I-StateCapital108695539
,	O
and	O
retired	O
as	O
a	O
Naval	O
officer	O
who	O
served	O
for	O
20	O
years	O
on	O
nuclear	O
ballistic	O
missile	O
submarines	O
.	O
For	O
most	O
of	O
its	O
life	O
it	O
was	O
a	O
New	B-StateCapital108695539
York	I-StateCapital108695539
—	O
New	B-StateCapital108695539
Orleans	I-StateCapital108695539
train	O
,	O
operating	O
over	O
the	O
same	O
route	O
as	O
the	O
more	O
famous	O
"	O
Crescent	O
Limited	O
"	O
.	O
She	O
is	O
from	O
New	O
Goreleans	O
(	O
equivalent	O
of	O
New	B-StateCapital108695539
Orleans	I-StateCapital108695539
)	O
.	O
Harlan	O
currently	O
lives	O
in	O
New	B-StateCapital108695539
Orleans,	I-StateCapital108695539
Louisiana	I-StateCapital108695539
.	O
She	O
's	O
spoken	O
across	O
the	O
country	O
and	O
at	O
dozen	O
of	O
high	O
schools	O
in	O
New	B-StateCapital108695539
Orleans	I-StateCapital108695539
since	O
2008	O
.	O
She	O
detached	O
from	O
the	O
convoy	O
and	O
sailed	O
to	O
New	B-StateCapital108695539
Orleans,	I-StateCapital108695539
Louisiana	I-StateCapital108695539
,	O
arriving	O
on	O
21	O
August	O
.	O
2014	O
-	O
NBA	O
All	O
-	O
Star	O
jam	O
session	O
,	O
New	B-StateCapital108695539
Orleans	I-StateCapital108695539
Louisiana	O
The	O
music	O
video	O
was	O
filmed	O
in	O
New	B-StateCapital108695539
Orleans	I-StateCapital108695539
and	O
is	O
set	O
in	O
the	O
vintage	O
diner	O
Ted	O
's	O
Frostop	O
.	O
The	O
salvaged	O
boat	O
and	O
cargo	O
would	O
later	O
,	O
be	O
sold	O
,	O
down	O
the	O
Mississippi	O
River	O
,	O
in	O
New	B-StateCapital108695539
Orleans	I-StateCapital108695539
and	O
along	O
other	O
river	O
town	O
ports	O
.	O
The	O
Fish	O
class	O
sloop	O
,	O
also	O
known	O
informally	O
as	O
Fish	O
Boat	O
is	O
a	O
one	O
-	O
design	O
sailboat	O
designed	O
in	O
1919	O
by	O
New	B-StateCapital108695539
Orleans	I-StateCapital108695539
resident	O
Rathbone	O
De	O
Buys	O
,	O
member	O
of	O
the	O
Southern	O
Yacht	O
Club	O
.	O
In	O
1871	O
,	O
after	O
resigning	O
from	O
the	O
United	O
States	O
Army	O
,	O
Doherty	O
went	O
into	O
business	O
in	O
New	B-StateCapital108695539
Orleans	I-StateCapital108695539
.	O
Cazayoux	O
is	O
considered	O
a	O
moderate	O
-	O
to	O
-	O
conservative	O
Democrat	O
,	O
which	O
is	O
typical	O
for	O
most	O
Louisiana	O
Democrats	O
outside	O
New	B-StateCapital108695539
Orleans	I-StateCapital108695539
.	O
Neighbors	O
left	O
Virginia	O
at	O
the	O
age	O
of	O
nineteen	O
,	O
and	O
while	O
he	O
stayed	O
briefly	O
in	O
New	B-StateCapital108695539
Orleans	I-StateCapital108695539
,	O
his	O
intention	O
was	O
always	O
to	O
immigrate	O
to	O
Texas	O
,	O
which	O
he	O
did	O
in	O
the	O
early	O
spring	O
of	O
1836	O
.	O
The	O
George	O
Washington	O
Cable	O
House	O
is	O
a	O
historic	O
house	O
at	O
1313	O
8th	O
Street	O
,	O
in	O
the	O
Garden	O
District	O
of	O
New	B-StateCapital108695539
Orleans	I-StateCapital108695539
,	O
Louisiana	O
.	O
Frankie	O
Dusen	O
(	O
1878–1936	O
)	O
was	O
an	O
early	O
New	B-StateCapital108695539
Orleans	I-StateCapital108695539
jazz	O
trombonist	O
.	O
On	O
his	O
inauguration	O
day	O
,	O
Edwards	O
failed	O
to	O
persuade	O
the	O
majority	O
-	O
Republican	O
Louisiana	O
House	O
to	O
choose	O
a	O
Democrat	O
,	O
Walt	O
Leger	O
III	O
of	O
New	B-StateCapital108695539
Orleans	I-StateCapital108695539
,	O
as	O
the	O
Speaker	O
.	O
Deluge	O
is	O
a	O
fireboat	O
(	O
also	O
referred	O
to	O
as	O
a	O
firefighting	O
tug	O
)	O
in	O
New	B-StateCapital108695539
Orleans,	I-StateCapital108695539
Louisiana	I-StateCapital108695539
.	O
The	O
James	O
H.	O
Dillard	O
House	O
is	O
a	O
historic	O
house	O
at	O
571	O
Audubon	O
Street	O
in	O
New	B-StateCapital108695539
Orleans	I-StateCapital108695539
,	O
Louisiana	O
.	O
In	O
1699	O
,	O
they	O
founded	O
Fort	O
Mississippi	O
on	O
a	O
ridge	O
a	O
little	O
more	O
than	O
one	O
kilometer	O
from	O
the	O
shore	O
of	O
the	O
river	O
,	O
on	O
the	O
east	O
bank	O
,	O
and	O
about	O
twenty	O
kilometers	O
south	O
of	O
the	O
future	O
city	O
of	O
New	B-StateCapital108695539
Orleans	I-StateCapital108695539
.	O
In	O
1965	O
,	O
the	O
New	B-StateCapital108695539
Orleans	I-StateCapital108695539
pop	O
girl	O
group	O
the	O
Dixie	O
Cups	O
released	O
the	O
single	O
"	O
Gee	O
the	O
Moon	O
Is	O
Shining	O
Bright	O
